"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"ZNF641",-0.345804650039158,8.4843083868376,-4.56449963591499,2.21119666232202e-05,0.000586010134905654,2.45699880995242,"NOT","ZNF641"
"PDK3",-0.456635761427247,9.52066902020116,-4.56142864276641,2.23596621342747e-05,0.000591423917656486,2.44646088382423,"NOT","PDK3"
"AGPAT1",0.409249172024819,8.11732560092359,4.56043689592054,2.24402280965738e-05,0.000592404626223892,2.44305853919523,"NOT","AGPAT1"
"BPTF",-0.130207145805804,7.30509668980129,-4.55851422425071,2.2597224388068e-05,0.000595395339679425,2.43646358730604,"NOT","BPTF"
"ZNF263",0.196048058968733,7.44941198748719,4.55368540493062,2.29962499911349e-05,0.000604739222739844,2.41990654238896,"NOT","ZNF263"
"CD300LF",-0.418611820482507,9.12737565646581,-4.55062979630049,2.32522800635315e-05,0.000610293948025869,2.40943412385269,"NOT","CD300LF"
"SLC3A2",0.288848569119303,7.9358645526605,4.54836296098239,2.34440081479475e-05,0.000614142844214116,2.4016673801419,"NOT","SLC3A2"
"THAP1",-0.181301509779991,7.50221842310615,-4.54653781640839,2.35994949399316e-05,0.000616037549375283,2.39541542286267,"NOT","THAP1"
"CFL1",-0.496091215810459,12.3162012657942,-4.54602185523942,2.36436320080319e-05,0.000616037549375283,2.39364825285831,"NOT","CFL1"
"KLHL2",-0.690089941986102,8.91231495408666,-4.54592405845023,2.36520069243337e-05,0.000616037549375283,2.39331330990098,"NOT","KLHL2"
"KLHDC8B",0.6794610228041,8.65999783446491,4.54185249741956,2.40032511394897e-05,0.000623992914164369,2.37937196019702,"NOT","KLHDC8B"
"SLC22A16",0.245038275170957,7.42267545833905,4.53621418545308,2.44980444515213e-05,0.000635642593368806,2.36007654567117,"NOT","SLC22A16"
"HOXD11",0.133016949363051,7.14761383769949,4.5354005307109,2.45702612682731e-05,0.00063630437071562,2.35729307824149,"NOT","HOXD11"
"MAP1S",-0.414382740138501,8.47517799560258,-4.53274554183324,2.48073506126798e-05,0.000641225294204789,2.34821230020416,"NOT","MAP1S"
"ERVK13-1",-0.16285590797376,7.50354098306438,-4.52988324388744,2.5065444712166e-05,0.000646669484600615,2.33842554260611,"NOT","ERVK13-1"
"INTS13",-0.139713983080506,7.30672890031432,-4.52817473290408,2.52207440700231e-05,0.000649446078869291,2.33258533009195,"NOT","INTS13"
"C21orf91-OT1",-0.0662907714886707,7.14643443074115,-4.52367981839667,2.56338028392402e-05,0.000658837098634208,2.31722577819166,"NOT","C21orf91-OT1"
"ANXA2P1",-0.765832057644923,9.84146658972399,-4.51887162525738,2.60829310691427e-05,0.000669118054658874,2.30080446236839,"DOWN","ANXA2P1"
"ACTN1",-0.475190354960549,11.7164481586211,-4.51591566331022,2.63628321353376e-05,0.000675027254412723,2.29071352242611,"NOT","ACTN1"
"RNF146",-0.343084951995211,7.67935172612742,-4.51403234937287,2.6542684445732e-05,0.000678357312419814,2.28428612973464,"NOT","RNF146"
"MYO18A",-0.221704148969065,7.67149840498819,-4.51120261274284,2.68151626440784e-05,0.000684037725725911,2.27463139267737,"NOT","MYO18A"
"CNPY2",0.259692518238128,8.05226651340744,4.50930926832736,2.69989910143345e-05,0.000687439730088346,2.26817327456,"NOT","CNPY2"
"MRPL40",0.168573473572019,7.30717773325596,4.50601501130103,2.73217607487274e-05,0.000694360121117844,2.25694006211497,"NOT","MRPL40"
"CENPC",-0.0984024053223784,7.14233772058343,-4.50068161871429,2.78522917158668e-05,0.000706524986505657,2.23876258325586,"NOT","CENPC"
"PARP4",-0.499926554967583,9.61535700729361,-4.49968311137395,2.79527234095905e-05,0.000707754643653238,2.23536067765619,"NOT","PARP4"
"MZB1",1.27961730150421,8.62718019223702,4.49787354556186,2.81356305286416e-05,0.000711064116996579,2.22919650603123,"UP","MZB1"
"NMNAT1",-0.109991324237134,7.29029430825886,-4.49676570803755,2.82481819195659e-05,0.000712586544645049,2.22542336576546,"NOT","NMNAT1"
"SZRD1",0.363290628875259,8.92524677671219,4.49337078465029,2.85958229850466e-05,0.000720022736972836,2.21386375123776,"NOT","SZRD1"
"USP22",-0.0974234410273231,7.26963252631945,-4.49231718181978,2.87045550759762e-05,0.000721427028127209,2.2102771916698,"NOT","USP22"
"ATP5PF",0.548457720180993,9.94324694234618,4.48321500568555,2.96607820807092e-05,0.000744086875696909,2.17931087960757,"NOT","ATP5PF"
